"record_index","menu_code","resource_slot","music_id","title","bpm_primary","bpm_secondary","single_basic","single_trick","single_maniac","double_basic","double_trick","double_maniac","unlock_bit","artwork_selector","field_04","field_06","flags_0c","is_long_song","field_0e","field_10","title_address"
"14","1","0","0x00E8","DYNAMITE RAVE(Long ver.)","150","0","4","5","8","4","6","9","0","0xFF","5","97","0x0101","True","0","0","0x8001DD38"
"17","2","1","0x00E9","Healing Vision","196","49","3","6","8","3","6","9","0","0xFF","8","94","0x0000","False","0","0","0x8001DD04"
"40","3","2","0x00EA","STILL IN MY HEART","150","0","4","6","7","4","5","7","0","0xFF","20","66","0x0000","False","0","0","0x8001DB2C"
"15","4","3","0x00EB","ECSTASY","145","0","4","6","7","4","6","7","0","0xFF","23","77","0x0000","False","0","0","0x8001DD30"
"7","5","4","0x00ED","BROKEN MY HEART","160","0","4","5","9","4","6","9","0","0x2B","14","102","0x0000","False","0","0","0x8001DDCC"
"9","6","5","0x00E7","DANCING ALL ALONE","140","0","2","5","7","2","5","7","0","0x25","31","69","0x0000","False","0","0","0x8001DD90"
"41","7","6","0x00F0","SWING IT","178","0","3","4","6","3","4","6","0","0x00","12","101","0x0000","False","0","0","0x8001DB20"
"19","8","7","0x00F2","HOT LIMIT","156","0","3","6","8","3","6","8","0","0x22","4","85","0x0100","True","0","0","0x8001DCDC"
"34","9","8","0x00F4","PARANOiA ETERNAL","200","0","5","6","9","5","6","9","0","0xFF","7","73","0x0000","False","0","0","0x8001DB98"
"38","10","9","0x00F5","ROMANCE NO KAMISAMA","157","0","3","5","9","3","6","8","0","0x22","16","105","0x0002","False","0","0","0x8001DB58"
"45","11","10","0x00F6","THE TWIST(Double Pump MIX)","159","0","3","5","7","2","5","7","0","0x29","17","80","0x0003","False","0","0","0x8001DAB8"
"0","12","11","0x00F7","17SAI","142","0","2","5","6","2","4","6","0","0x22","25","92","0x0000","False","0","0","0x8001DE48"
"5","13","12","0x00F8","B4U glorious style","155","0","4","6","9","5","6","9","0","0xFF","3","56","0x0100","True","0","0","0x8001DDE8"
"6","14","13","0x00F9","BE TOGETHER","142","0","3","5","7","3","5","7","0","0x22","30","76","0x0000","False","0","0","0x8001DDDC"
"31","15","14","0x00FA","ODORU PONPOKOLIN","142","0","1","4","7","1","4","7","0","0x22","27","106","0x0000","False","0","0","0x8001DBE0"
"23","16","15","0x00FB","MATSURI JAPAN","180","0","4","5","9","4","6","8","0","0x2B","10","58","0x0000","False","0","0","0x8001DCA0"
"36","17","16","0x00FC","Remember You","105","0","1","3","5","1","3","5","0","0xFF","47","96","0x0000","False","0","0","0x8001DB78"
